Trial 1_x,Trial 1_y,Trial 2_x,Trial 2_y,Trial 3_x,Trial 3_y,Trial 4_x,Trial 4_y,Trial 5_x,Trial 5_y,Trial 6_x,Trial 6_y,Trial 7_x,Trial 7_y,Trial 8_x,Trial 8_y,Trial 9_x,Trial 9_y,Trial 10_x,Trial 10_y,Trial 11_x,Trial 11_y,Trial 12_x,Trial 12_y,Trial 13_x,Trial 13_y,Trial 14_x,Trial 14_y
13.81445068,600.3541667,13.01349187,664.75,12.63227082,415.4375,13.31500347,438.9166667,13.59062053,387.275,19.56666667,330.6041667,13.58387235,413.3076923,13.96395575,393.3846154,13.95,427.68,12.81716114,396.1458333,14.1142432,617.5625,13.39884033,422.625,13.88043493,261.7916667,14.19761445,348.6041667
13.03124298,608.6458333,13.79663415,665.25,13.41553827,414.5625,14.11490355,444.0833333,12.80686695,386.725,20.38333333,380.3958333,12.78384061,411.6923077,13.18077446,399.6153846,13.18333333,432.32,13.617192,401.8541667,13.31438054,618.4375,14.18210587,421.375,13.09726514,260.2083333,13.41441271,347.3958333
15.39753007,600.3541667,14.57977642,664.75,15.76534062,412.4375,14.89813905,441.9166667,15.15812768,387.275,21.15,333.6041667,15.13393386,410.3076923,15.51365489,385.3846154,15.55,428.68,14.41722287,401.1458333,15.68064092,620.5625,14.98203664,417.625,15.43011134,257.7916667,15.74735405,342.6041667
14.61432237,600.6458333,15.3629187,664.25,14.96540791,411.5625,15.66470996,438.0833333,14.37437411,384.725,21.95,380.3958333,14.36723677,412.6923077,14.74713703,400.6153846,14.75,429.32,15.20058642,402.8541667,14.88077825,618.4375,15.76530218,418.375,14.66360473,262.2083333,14.96415232,346.3958333
16.96394547,604.3541667,16.14606098,660.75,17.33187553,407.4375,16.48127463,437.9166667,16.74231044,379.275,22.73333333,332.6041667,16.73399735,410.3076923,17.0966809,382.3846154,17.13333333,428.68,15.98394997,396.1458333,17.24703863,613.5625,16.54856772,414.625,17.02977731,255.7916667,17.34708526,354.6041667
16.18073777,601.6458333,16.92920325,661.25,16.54860807,410.5625,17.24784555,436.0833333,15.94188126,380.725,23.51666667,374.3958333,15.93396561,410.6923077,16.33016304,393.6153846,16.33333333,425.32,16.78398084,395.8541667,16.44717597,611.4375,17.33183326,418.375,16.22994433,256.2083333,16.54721966,342.3958333
18.53036087,590.3541667,17.72900813,661.75,18.89841043,406.4375,18.04774563,439.9166667,18.3098176,380.275,24.3,331.6041667,18.30072619,408.3076923,18.64638005,386.3846154,18.7,427.68,17.56734439,398.1458333,18.83010014,614.5625,18.1150988,415.625,18.59611691,261.7916667,18.89682486,339.6041667
17.73048917,594.6458333,18.51215041,659.25,18.13180824,408.5625,18.83098113,438.0833333,17.52606402,378.725,25.08333333,374.3958333,17.50069444,409.6923077,17.89652562,396.6153846,17.9,424.32,18.35070795,400.8541667,18.03023748,609.4375,18.91502957,417.375,17.81294711,259.2083333,18.11362313,343.3958333
20.13010425,597.3541667,19.29529268,654.75,20.49827586,407.4375,19.61421663,432.9166667,19.87732475,378.275,25.86666667,331.6041667,19.86745503,404.3076923,20.22940606,382.3846154,20.26666667,423.68,19.1340715,398.1458333,20.39649785,612.5625,19.68162989,409.625,20.14579332,253.7916667,20.44656447,336.6041667
19.33023256,591.6458333,20.07843496,656.25,19.69834315,405.5625,20.39745212,432.0833333,19.09357117,379.725,26.65,372.3958333,19.06742328,409.6923077,19.44622477,389.6153846,19.48333333,423.32,19.90076775,393.8541667,19.613299,612.4375,20.46489543,410.375,19.37928671,260.2083333,19.6800266,340.3958333
