1_x,1_y,Trial 2_x,Trial 2_y,Trial 3_x,Trial 3_y,Trial 4_x,Trial 4_y,Trial 5_x,Trial 5_y,Trial 6_x,Trial 6_y,Trial 7_x,Trial 7_y,Trial 8_x,Trial 8_y,Trial 9_x,Trial 9_y,Trial 10_x,Trial 10_y,Trial 11_x,Trial 11_y,Trial 12_x,Trial 12_y,Trial 13_x,Trial 13_y,Trial 14_x,Trial 14_y,Trial 15_x,Trial 15_y,Trial 15_x.1,Trial 15_y.1,Trial 15_x,Trial 15_y
0.0,903.0,0.0,695.0,0.0,1144.0,0.0,288.0,0.0,305.0,0.0,511.0,0.0,275.0,0.0,816.0,0.0,877.0,0.0,772,0.0,1132.0,0.0,61.0,0.0,595.0,0.0,799.0,0.0,1432.0,0.0,1432.0,0.0,1072
0.016663993584603,866.0,0.0166626016260162,739.0,0.0166652649285113,1147.0,0.0166645850679988,292.0,0.0166756080114449,278.0,0.0166666666666666,514.0,0.016667328042328,250.0,0.0166634316770186,798.0,0.0166666666666666,858.0,0.0166673096707818,798,0.0166638054363376,1125.0,0.0166652242896293,53.0,0.0166631871955462,578.0,0.0166638667226655,804.0,0.0166638054363376,1425.0,0.0166638054363376,1425.0,0.016667309670781894,1098
0.033327987169206,825.0,0.0333252032520325,784.0,0.0333305298570227,1151.0,0.0333291701359977,299.0,0.0333512160228898,260.0,0.0333333333333333,516.0,0.033334656084656,231.0,0.0333268633540372,780.0,0.0333333333333333,839.0,0.0333346193415637,817,0.0333276108726752,1113.0,0.0333304485792586,52.0,0.0333263743910925,560.0,0.033327733445331,805.0,0.0333276108726752,1413.0,0.0333276108726752,1413.0,0.03333461934156379,1117
0.0499919807538091,782.0,0.0499878048780487,829.0,0.049995794785534,1153.0,0.0499937552039966,310.0,0.0500268240343347,242.0,0.05,518.0,0.0500019841269841,213.0,0.0499902950310559,761.0,0.05,821.0,0.0500019290123456,837,0.0499914163090128,1099.0,0.0499956728688879,60.0,0.0499895615866388,549.0,0.0499916001679966,801.0,0.0499914163090128,1399.0,0.0499914163090128,1399.0,0.05000192901234568,1137
0.0666559743384121,737.0,0.066650406504065,875.0,0.0666610597140454,1141.0,0.0666583402719955,322.0,0.0667024320457796,224.0,0.0666666666666666,520.0,0.0666693121693121,199.0,0.0666537267080745,735.0,0.0666666666666666,795.0,0.0666692386831275,861,0.0666552217453505,1082.0,0.0666608971585172,61.0,0.0666527487821851,531.0,0.0666554668906621,797.0,0.0666552217453505,1382.0,0.0666552217453505,1382.0,0.06666923868312757,1161
0.0833199679230152,697.0,0.0833130081300813,920.0,0.0833263246425567,1139.0,0.0833229253399944,332.0,0.0833780400572246,213.0,0.0833333333333333,522.0,0.0833366402116402,185.0,0.0833171583850931,715.0,0.0833333333333333,767.0,0.0833365483539094,879,0.0833190271816881,1063.0,0.0833261214481465,64.0,0.0833159359777313,513.0,0.0833193336133277,795.0,0.0833190271816881,1363.0,0.0833190271816881,1363.0,0.08333654835390947,1179
0.0999839615076182,659.0,0.0999756097560975,962.0,0.0999915895710681,1135.0,0.0999875104079933,349.0,0.1000536480686695,197.0,0.1,517.0,0.1000039682539682,171.0,0.0999805900621118,688.0,0.1,749.0,0.1000038580246913,898,0.0999828326180257,1045.0,0.0999913457377758,70.0,0.0999791231732776,495.0,0.0999832003359932,793.0,0.0999828326180257,1345.0,0.0999828326180257,1345.0,0.10000385802469136,1198
0.1166479550922213,617.0,0.1166382113821138,1003.0,0.1166568544995794,1127.0,0.1166520954759922,363.0,0.1167292560801144,180.0,0.1166666666666666,512.0,0.1166712962962963,160.0,0.1166440217391304,660.0,0.1166666666666666,722.0,0.1166711676954732,910,0.1166466380543633,1018.0,0.1166565700274051,78.0,0.1166423103688239,476.0,0.1166470670586588,785.0,0.1166466380543633,1318.0,0.1166466380543633,1318.0,0.11667116769547325,1210
0.1333119486768243,578.0,0.13330081300813,1044.0,0.1333221194280908,1119.0,0.1333166805439911,377.0,0.1334048640915593,170.0,0.1333333333333333,512.0,0.1333386243386243,150.0,0.133307453416149,633.0,0.1333333333333333,695.0,0.1333384773662551,925,0.133310443490701,991.0,0.1333217943170344,86.0,0.1333054975643702,457.0,0.1333109337813243,777.0,0.133310443490701,1291.0,0.133310443490701,1291.0,0.13333847736625515,1225
0.1499759422614274,540.0,0.1499634146341463,1085.0,0.1499873843566022,1109.0,0.14998126561199,399.0,0.1500804721030043,161.0,0.15,515.0,0.1500059523809523,145.0,0.1499708850931677,605.0,0.15,667.0,0.150005787037037,937,0.1499742489270386,964.0,0.1499870186066637,96.0,0.1499686847599164,440.0,0.1499748005039899,769.0,0.1499742489270386,1264.0,0.1499742489270386,1264.0,0.15000578703703704,1237
0.1666399358460304,502.0,0.1666260162601626,1121.0,0.1666526492851135,1094.0,0.1666458506799889,423.0,0.1667560801144492,153.0,0.1666666666666666,519.0,0.1666732804232804,139.0,0.1666343167701863,586.0,0.1666666666666666,632.0,0.1666730967078189,950,0.1666380543633762,932.0,0.1666522428962931,106.0,0.1666318719554627,421.0,0.1666386672266554,760.0,0.1666380543633762,1232.0,0.1666380543633762,1232.0,0.16667309670781894,1250
