Trial_625_x,Trial_625_y,Trial_850_x,Trial_850_y,Trial_1371_x,Trial_1371_y,Trial_1482_x,Trial_1482_y,Trial_1605_x,Trial_1605_y,Trial_2161_x,Trial_2161_y,Trial_1178_x,Trial_1178_y,Trial_1217_x,Trial_1217_y,Trial_1664_x,Trial_1664_y,Trial_733_x,Trial_733_y,Trial_1215_x,Trial_1215_y,Trial_1399_x,Trial_1399_y
0.0,4170.0,0.0,-39870.0,0.0,1860.0,0.0,2010.0,0.0,32250.0,0.0,22050.0,0.0,-450.0,0.0,1560.0,0.0,-1170.0,0.0,4380.0,0.0,-2520.0,0.0,-65520.0
0.0333333333333333,35970.0,0.0333333333333333,-17565.0,0.0333333333333333,1890.0,0.0333333333333333,1860.0,0.0333333333333333,18375.0,0.0333333333333333,37395.0,0.0333333333333333,-435.0,0.0333333333333333,1395.0,0.0333333333333333,-1170.0,0.0333333333333333,4185.0,0.0333333333333333,-2655.0,0.03333333333333333,-35160.0
0.0666666666666666,33750.0,0.0666666666666666,5490.0,0.0666666666666666,1635.0,0.0666666666666666,1740.0,0.0666666666666666,4125.0,0.0666666666666666,3060.0,0.0666666666666666,-420.0,0.0666666666666666,1410.0,0.0666666666666666,-1065.0,0.0666666666666666,4365.0,0.0666666666666666,-2685.0,0.06666666666666667,-3675.0
0.1,9195.0,0.1,6360.0,0.1,1860.0,0.1,2175.0,0.1,3810.0,0.1,-21825.0,0.1,-435.0,0.1,1410.0,0.1,-930.0,0.1,4800.0,0.1,-2625.0,0.1,-2940.0
0.1333333333333333,-22680.0,0.1333333333333333,5445.0,0.1333333333333333,2160.0,0.1333333333333333,2130.0,0.1333333333333333,3870.0,0.1333333333333333,3075.0,0.1333333333333333,-420.0,0.1333333333333333,1425.0,0.1333333333333333,-915.0,0.1333333333333333,4980.0,0.1333333333333333,-2505.0,0.13333333333333333,-3030.0
0.1666666666666666,-28965.0,0.1666666666666666,4935.0,0.1666666666666666,1965.0,0.1666666666666666,1920.0,0.1666666666666666,3135.0,0.1666666666666666,2670.0,0.1666666666666666,-405.0,0.1666666666666666,1455.0,0.1666666666666666,-825.0,0.1666666666666666,4545.0,0.1666666666666666,-2310.0,0.16666666666666666,-2505.0
0.2,5490.0,0.2,5760.0,0.2,2115.0,0.2,1755.0,0.2,2280.0,0.2,2430.0,0.2,-375.0,0.2,1365.0,0.2,-615.0,0.2,4110.0,0.2,-2265.0,0.2,-2670.0
0.2333333333333333,5430.0,0.2333333333333333,5295.0,0.2333333333333333,2025.0,0.2333333333333333,1665.0,0.2333333333333333,2025.0,0.2333333333333333,2235.0,0.2333333333333333,-345.0,0.2333333333333333,1455.0,0.2333333333333333,-510.0,0.2333333333333333,3585.0,0.2333333333333333,-2205.0,0.23333333333333334,-2145.0
0.2666666666666666,5805.0,0.2666666666666666,3870.0,0.2666666666666666,1800.0,0.2666666666666666,1650.0,0.2666666666666666,1305.0,0.2666666666666666,1815.0,0.2666666666666666,-345.0,0.2666666666666666,1425.0,0.2666666666666666,-405.0,0.2666666666666666,2430.0,0.2666666666666666,-2040.0,0.26666666666666666,-1350.0
0.3,5490.0,0.3,4695.0,0.3,1905.0,0.3,1305.0,0.3,300.0,0.3,1605.0,0.3,-255.0,0.3,1230.0,0.3,-240.0,0.3,2010.0,0.3,-1680.0,0.3,-1245.0
0.3333333333333333,5025.0,0.3333333333333333,4695.0,0.3333333333333333,1740.0,0.3333333333333333,1350.0,0.3333333333333333,-585.0,0.3333333333333333,1065.0,0.3333333333333333,-210.0,0.3333333333333333,990.0,0.3333333333333333,-165.0,0.3333333333333333,1350.0,0.3333333333333333,-1440.0,0.3333333333333333,-750.0
0.3666666666666666,5280.0,0.3666666666666666,3105.0,0.3666666666666666,1635.0,0.3666666666666666,1095.0,0.3666666666666666,-915.0,0.3666666666666666,630.0,0.3666666666666666,-195.0,0.3666666666666666,1020.0,0.3666666666666666,45.0,0.3666666666666666,255.0,0.3666666666666666,-1230.0,0.36666666666666664,75.0
0.4,5835.0,0.4,2310.0,0.4,1545.0,0.4,780.0,0.4,-1800.0,0.4,30.0,0.4,-120.0,0.4,930.0,0.4,240.0,0.4,-465.0,0.4,-885.0,0.4,720.0
0.4333333333333333,5325.0,0.4333333333333333,1185.0,0.4333333333333333,1110.0,0.4333333333333333,570.0,0.4333333333333333,-3165.0,0.4333333333333333,-510.0,0.4333333333333333,-75.0,0.4333333333333333,645.0,0.4333333333333333,315.0,0.4333333333333333,-1620.0,0.4333333333333333,-570.0,0.43333333333333335,750.0
0.4666666666666667,4935.0,0.4666666666666667,-195.0,0.4666666666666667,870.0,0.4666666666666667,315.0,0.4666666666666667,-2235.0,0.4666666666666667,-930.0,0.4666666666666667,22320.0,0.4666666666666667,570.0,0.4666666666666667,480.0,0.4666666666666667,-2265.0,0.4666666666666667,-180.0,0.4666666666666667,1155.0
0.5,4365.0,0.5,-1500.0,0.5,825.0,0.5,-30.0,0.5,-2055.0,0.5,-1470.0,0.5,90.0,0.5,435.0,0.5,615.0,0.5,-2760.0,0.5,165.0,0.5,2025.0
0.5333333333333333,4485.0,0.5333333333333333,-2430.0,0.5333333333333333,570.0,0.5333333333333333,-270.0,0.5333333333333333,-3840.0,0.5333333333333333,-1830.0,0.5333333333333333,-22200.0,0.5333333333333333,150.0,0.5333333333333333,735.0,0.5333333333333333,-3825.0,0.5333333333333333,420.0,0.5333333333333333,2160.0
